cluster,latitude,longitude,urban_rural,state,wealth_index
234.0,10.0684937624,12.4146776114,R,Adamawa,-0.9776143333333334
235.0,9.74806128132,12.6017275485,R,Adamawa,-1.0372989655172413
236.0,9.74773930178,12.7062647027,R,Adamawa,-0.9353976666666667
237.0,9.70856819947,12.0878451883,R,Adamawa,-1.296111
238.0,9.7318330765,11.9132958799,R,Adamawa,-0.7905676666666667
239.0,9.6230359144,11.786963132,R,Adamawa,-1.0564163333333334
240.0,9.43419384621,11.6430076008,R,Adamawa,-1.1669370000000001
241.0,9.40429981548,11.8530765872,R,Adamawa,-1.3122641379310347
242.0,9.27918601437,12.4308692355,R,Adamawa,-0.085192
243.0,9.25354379244,12.3689372874,R,Adamawa,0.811696
244.0,9.51637060582,12.4905423368,R,Adamawa,-1.2289330769230769
245.0,9.59323946766,13.0115865744,R,Adamawa,-1.248316
246.0,9.39192698304,12.6585913695,R,Adamawa,-0.7221063333333333
247.0,9.01733852441,12.7258908448,R,Adamawa,-1.3043766666666667
248.0,9.03148890809,12.2499320194,R,Adamawa,-1.3344363333333333
249.0,8.7478829942,11.9676467773,R,Adamawa,-0.376123
250.0,8.61411900377,12.0185732953,R,Adamawa,-0.7314240000000001
251.0,8.73427297355,12.3634391754,R,Adamawa,-1.0711353333333333
252.0,8.55117671941,11.9569648329,R,Adamawa,-0.9456043333333334
253.0,8.35101853614,12.1884955507,R,Adamawa,-1.0913456666666665
254.0,8.57699087672,12.2478295424,R,Adamawa,-1.0944823333333331
255.0,10.8395393663,11.4349337398,U,Gombe,-0.344732
256.0,10.2673734218,11.1499877033,U,Gombe,0.212651
257.0,10.3146101311,11.1763501739,U,Gombe,0.653103
258.0,10.3074375582,11.1872010461,U,Gombe,-0.42724
259.0,10.2879264133,11.1652457346,U,Gombe,0.23126133333333335
260.0,10.2797854458,11.1446608851,U,Gombe,1.1507336666666668
261.0,9.80735262986,11.3129149727,U,Gombe,-0.043307
262.0,11.0576131998,10.969235225,R,Gombe,-1.4900776666666669
263.0,10.8242131701,10.7853898621,R,Gombe,-1.4238436666666667
264.0,11.09473595,11.3252850727,R,Gombe,-0.6106063333333334
265.0,10.9545333827,11.4752370978,R,Gombe,-1.0998483333333333
266.0,10.8331885886,11.5253195652,R,Gombe,-1.405059
267.0,10.4773725743,11.079364622,R,Gombe,-0.7686793333333333
268.0,10.5004682061,11.4065623212,R,Gombe,-1.3139953333333334
269.0,10.4050261892,11.0218825852,R,Gombe,-1.2077933333333335
270.0,10.2673797317,11.1365084936,R,Gombe,0.8952443333333334
271.0,10.2511440342,11.1397977038,R,Gombe,0.6936576666666667
272.0,10.1397599778,11.1572810278,R,Gombe,-1.2713553333333332
273.0,9.86191391756,10.9499183489,R,Gombe,-1.350592
274.0,10.0521830768,11.1775575181,R,Gombe,-1.377675
275.0,10.2891201999,11.2104349772,R,Gombe,-0.10377733333333333
276.0,10.3795408493,11.3345653156,R,Gombe,-1.316672
277.0,10.2080422301,11.5141998915,R,Gombe,-1.1024453333333333
278.0,10.1007488083,11.4916725729,R,Gombe,-1.4047303333333334
279.0,9.99787916499,11.6573303437,R,Gombe,-1.1716436666666667
280.0,9.82123137878,11.6614388426,R,Gombe,-0.7314620000000001
281.0,9.68442931757,11.478119675,R,Gombe,-1.0720393333333333
282.0,9.85473288609,11.44358528,R,Gombe,-0.588372
283.0,9.87803900019,11.219953987,R,Gombe,-0.18190666666666663
284.0,9.81662193163,11.1586824036,R,Gombe,-0.5709666666666667
285.0,9.57625558337,11.2468554568,R,Gombe,-1.5161373333333332
286.0,11.6606085869,10.1797661624,U,Bauchi,0.5925277777777778
287.0,11.2986559444,10.4695608025,U,Bauchi,-0.005639310344827594
288.0,10.9022558534,9.8264092412,U,Bauchi,-0.678045172413793
289.0,10.2756998472,9.85299699175,U,Bauchi,0.36783133333333334
290.0,10.2894949401,9.82792344613,U,Bauchi,0.73183375
291.0,10.3547103788,9.87019886556,U,Bauchi,0.3954851851851852
292.0,9.77557671136,9.54381228693,U,Bauchi,-0.017957599999999997
293.0,12.3755054354,10.3439137975,R,Bauchi,-1.3189955555555557
294.0,12.3316546642,10.7193098918,R,Bauchi,-1.5746265517241378
295.0,12.1282146988,10.7278316247,R,Bauchi,-1.2665035714285715
296.0,11.8103197397,10.8401205566,R,Bauchi,-1.4632788888888888
297.0,11.871392036,10.1509119206,R,Bauchi,-1.4987348148148147
298.0,11.6464044144,10.2136071079,R,Bauchi,-1.4529437037037038
299.0,11.5698634189,10.4158102558,R,Bauchi,-1.1740875
300.0,11.4422018331,10.2311562819,R,Bauchi,-1.2021673333333331
301.0,11.5090832237,9.9122477353,R,Bauchi,-0.8648644827586207
302.0,11.4452222648,10.3730757395,R,Bauchi,-0.5575706896551724
303.0,11.3260894502,10.5148704795,R,Bauchi,-1.2205515384615384
304.0,11.4344138321,10.7910834885,R,Bauchi,-1.4241243333333335
305.0,11.070966972,10.5510006117,R,Bauchi,-1.2755623333333332
306.0,10.8467952115,9.74509706559,R,Bauchi,-0.8218523076923077
307.0,10.868421618,10.3653206567,R,Bauchi,-0.8072260714285714
308.0,10.6592556356,10.1860425699,R,Bauchi,-0.9175622222222223
309.0,11.1747270569,9.74969516251,R,Bauchi,-0.3971496666666667
310.0,10.9275275474,9.06808088554,R,Bauchi,-0.9927689655172415
311.0,11.1712739048,9.4256913124,R,Bauchi,-1.4527065384615385
312.0,11.0304553298,9.55546735047,R,Bauchi,-0.7222565384615384
313.0,10.5998464195,9.09659550004,R,Bauchi,-1.0281218518518518
314.0,10.1305639823,9.39807892789,R,Bauchi,-1.0619207142857143
315.0,10.1009090619,9.07145983671,R,Bauchi,-0.32288071428571424
316.0,10.2741472676,9.7754434744,R,Bauchi,0.1552785185185185
317.0,10.4306850173,10.1165181521,R,Bauchi,-1.4138193333333333
318.0,10.0063626598,9.75444055404,R,Bauchi,-0.6461224999999999
319.0,10.3896712406,10.4086857714,R,Bauchi,-0.3683580769230769
320.0,10.0550095115,10.6470569689,R,Bauchi,-1.2972941666666666
321.0,9.68666947779,10.7449070679,R,Bauchi,-0.9774562499999999
322.0,9.55042769756,10.636448508,R,Bauchi,-1.0657055
323.0,9.87749119795,10.1642636604,R,Bauchi,-1.0716137037037037
324.0,9.73057368023,9.80293984535,R,Bauchi,-1.2537839285714285
325.0,10.0879596847,9.51283136607,R,Bauchi,-1.142045909090909
326.0,9.6251864877,9.57226869004,R,Bauchi,-0.3795952380952381
327.0,12.2182174372,8.24392848126,U,Kano,0.580721724137931
328.0,12.041646671,8.47625511975,U,Kano,-0.3500246666666667
329.0,12.0663929826,8.58261021651,U,Kano,0.54641
330.0,11.965658085,8.44752829525,U,Kano,1.0133376666666667
331.0,12.0466485588,8.47811406115,U,Kano,0.20729250000000002
332.0,12.0011680706,8.50560550319,U,Kano,0.32697866666666664
333.0,12.0108068205,8.52908521225,U,Kano,1.0848906666666667
334.0,11.9973924181,8.57639589411,U,Kano,1.2841606896551723
335.0,12.0061275687,8.61551202051,U,Kano,0.32701766666666665
336.0,12.0290404939,8.54354377946,U,Kano,0.34726433333333334
337.0,11.9657732079,8.51691378224,U,Kano,0.8857603333333334
338.0,11.9625364476,8.43288797005,U,Kano,0.5613654166666667
339.0,11.9379601878,8.4596437103,U,Kano,0.4270153846153846
340.0,11.9448904435,8.50338534096,U,Kano,0.7880896428571429
341.0,11.9636383721,8.59744433267,U,Kano,0.4309171428571429
342.0,11.853175004,9.00300893992,U,Kano,-0.17143758620689653
343.0,11.9157593457,7.9304417947,U,Kano,-0.5581344444444445
344.0,11.8255869197,8.48731360619,U,Kano,-0.08934766666666664
345.0,11.2371853938,8.40140350971,U,Kano,-0.27080074074074073
346.0,12.4059129928,8.25250735186,R,Kano,-0.9904746666666667
347.0,12.4247966823,8.70623876564,R,Kano,-1.00401
348.0,12.1524917224,8.86030334113,R,Kano,-0.4785055172413793
349.0,12.1333977479,8.63554593493,R,Kano,-0.8771896666666666
350.0,12.3211175807,8.16619008139,R,Kano,-1.0478893333333332
351.0,12.3256387347,8.01851397344,R,Kano,-1.0863307142857141
352.0,12.1797529487,8.17091732107,R,Kano,-0.7440493333333333
353.0,12.0116586016,8.4646794747,R,Kano,0.5002946666666667
354.0,12.0167524795,8.50709860623,R,Kano,0.011294642857142852
355.0,11.9160812302,8.51560766059,R,Kano,0.3440044444444444
356.0,11.9824712395,8.75950489774,R,Kano,-0.9173166666666667
357.0,11.9727224012,8.97620336057,R,Kano,-0.8461546428571428
358.0,11.8373814319,9.16573933012,R,Kano,-1.3335855172413793
359.0,11.7966239397,8.63604059058,R,Kano,-1.085719
360.0,11.9190601674,8.28389912953,R,Kano,-0.6917503333333334
361.0,11.8362548963,7.89273586465,R,Kano,-0.7018164285714287
362.0,11.5370913695,7.71893453161,R,Kano,-0.8987139285714285
363.0,11.7334280237,8.21480755173,R,Kano,-0.2963586206896552
364.0,11.6112919847,8.34573559437,R,Kano,-1.1535836666666666
365.0,11.7947046925,8.42992938274,R,Kano,-0.060698
366.0,11.451207535,8.48415168522,R,Kano,-0.7644706666666666
367.0,11.6947388258,8.80342363977,R,Kano,-1.070986818181818
368.0,11.6255092714,9.08259462069,R,Kano,-1.1103556666666667
369.0,11.5697034872,9.08469223472,R,Kano,-0.23745333333333335
370.0,11.3089742444,8.7944044513,R,Kano,-1.0407386206896552
371.0,11.2470494802,8.31844544804,R,Kano,-1.045617
372.0,11.0416185669,7.0865724625,U,Kaduna,-0.5859103333333333
373.0,11.1856923184,7.63086951161,U,Kaduna,0.006471333333333332
374.0,11.1968660487,7.80838262124,U,Kaduna,-0.2679296666666666
375.0,10.687927706,8.27413453028,U,Kaduna,-0.05995620689655172
376.0,11.0816479847,7.71215161237,U,Kaduna,0.47989533333333334
